Estimate,Std..Error,z.value,Pr...z..,response,cov,model
-0.688,0.242,-2.847,0.004,forage,(Intercept),1
-4.82,0.388,-12.425,0,forage,Pod size,1
-21.144,595.94,-0.035,0.972,forage,Season: low fish catch,1
-4.39,0.221,-19.863,0,forage,Neighbour presence,1
-0.126,0.139,-0.907,0.364,socialise,(Intercept),1
-0.338,0.08,-4.23,0,socialise,Pod size,1
-4.783,0.525,-9.103,0,socialise,Season: low fish catch,1
-2.11,0.162,-13.017,0,socialise,Neighbour presence,1
-0.367,0.021,-17.104,0,escape,(Intercept),2
-0.365,0.016,-22.289,0,escape,Pod size,2
-0.595,0.038,-15.683,0,escape,Distance to closest boat,2
0.384,0.014,28.073,0,escape,Number of surrounding boats,2
0.1,0.027,3.65,0,escape,Season: low fish catch,2
-0.73,0.027,-27.328,0,escape,Neighbour presence,2
-2.928,0.064,-45.629,0,forage,(Intercept),2
-2.899,0.099,-29.155,0,forage,Pod size,2
-0.517,0.059,-8.697,0,forage,Distance to closest boat,2
-0.367,0.035,-10.57,0,forage,Number of surrounding boats,2
-0.946,0.06,-15.877,0,forage,Season: low fish catch,2
-0.01,0.054,-0.186,0.852,forage,Neighbour presence,2
-2.901,0.051,-56.88,0,socialise,(Intercept),2
0.161,0.019,8.389,0,socialise,Pod size,2
0.455,0.048,9.401,0,socialise,Distance to closest boat,2
-0.639,0.037,-17.489,0,socialise,Number of surrounding boats,2
1.685,0.055,30.494,0,socialise,Season: low fish catch,2
-0.188,0.046,-4.115,0,socialise,Neighbour presence,2
-0.521,0.061,-8.517,0,forage,(Intercept),3
-0.471,0.06,-7.902,0,forage,Pod size,3
-1.222,0.05,-24.437,0,forage,Distance to closest fishing net,3
0.7,0.043,16.327,0,forage,Season: low fish catch,3
-1.007,0.048,-21.066,0,forage,Neighbour presence,3
-16.646,212.533,-0.078,0.938,socialise,(Intercept),3
0.679,0.067,10.169,0,socialise,Pod size,3
0.274,0.094,2.907,0.004,socialise,Distance to closest fishing net,3
-1.27,0.167,-7.611,0,socialise,Season: low fish catch,3
14.446,212.533,0.068,0.946,socialise,Neighbour presence,3
-58.991,1292.34,-0.046,0.964,escape,(Intercept),4
-1.662,0.189,-8.796,0,escape,Pod size,4
-3.013,0.233,-12.951,0,escape,Distance to closest boat,4
1.912,0.22,8.679,0,escape,Number of surrounding boats,4
1.509,0.089,16.961,0,escape,Distance to closest fishing net,4
19.354,586.531,0.033,0.974,escape,Season: low fish catch,4
37.764,1151.575,0.033,0.974,escape,Neighbour presence,4
-43.393,798.33,-0.054,0.957,forage,(Intercept),4
-39.853,691.712,-0.058,0.954,forage,Pod size,4
-0.353,0.049,-7.187,0,forage,Distance to closest boat,4
-0.387,0.255,-1.519,0.129,forage,Number of surrounding boats,4
-1.295,0.168,-7.729,0,forage,Distance to closest fishing net,4
17.982,662.242,0.027,0.978,forage,Season: low fish catch,4
-1.026,0.156,-6.579,0,forage,Neighbour presence,4
-5.461,1.041,-5.243,0,socialise,(Intercept),4
0.156,0.051,3.089,0.002,socialise,Pod size,4
-0.171,0.035,-4.855,0,socialise,Distance to closest boat,4
-1.616,0.307,-5.257,0,socialise,Number of surrounding boats,4
-0.388,0.05,-7.737,0,socialise,Distance to closest fishing net,4
-0.61,0.079,-7.698,0,socialise,Season: low fish catch,4
3.765,1.008,3.733,0,socialise,Neighbour presence,4
