Estimate,Std..Error,z.value,Pr...z..,response,cov,model
-1.566,1.316,-1.191,0.234,forage,(Intercept),1
-3.975,1.598,-2.487,0.013,forage,Pod size,1
-14.824,1018.221,-0.015,0.988,forage,Season: low fish catch,1
-1.896,1.063,-1.784,0.074,forage,Neighbour presence,1
-0.148,0.675,-0.219,0.827,socialise,(Intercept),1
-0.13,0.109,-1.197,0.231,socialise,Pod size,1
0.377,0.824,0.457,0.648,socialise,Season: low fish catch,1
0.458,0.686,0.668,0.504,socialise,Neighbour presence,1
-1.745,0.154,-11.368,0,escape,(Intercept),2
-2.16,0.22,-9.823,0,escape,Pod size,2
-0.471,0.236,-1.997,0.046,escape,Distance to closest boat,2
0.285,0.076,3.758,0,escape,Number of surrounding boats,2
-0.079,0.171,-0.464,0.643,escape,Season: low fish catch,2
-0.233,0.169,-1.376,0.169,escape,Neighbour presence,2
-5.096,0.529,-9.631,0,forage,(Intercept),2
-6.141,0.802,-7.656,0,forage,Pod size,2
-0.237,0.29,-0.817,0.414,forage,Distance to closest boat,2
-0.523,0.217,-2.408,0.016,forage,Number of surrounding boats,2
-1.265,0.376,-3.365,0.001,forage,Season: low fish catch,2
1.054,0.388,2.716,0.007,forage,Neighbour presence,2
-0.217,0.085,-2.561,0.01,socialise,(Intercept),2
0.031,0.033,0.96,0.337,socialise,Pod size,2
-0.077,0.108,-0.718,0.473,socialise,Distance to closest boat,2
-0.091,0.05,-1.833,0.067,socialise,Number of surrounding boats,2
-0.002,0.097,-0.018,0.986,socialise,Season: low fish catch,2
0.133,0.096,1.386,0.166,socialise,Neighbour presence,2
-1.157,0.398,-2.904,0.004,forage,(Intercept),3
-2.422,0.349,-6.939,0,forage,Pod size,3
-0.372,0.223,-1.67,0.095,forage,Distance to closest fishing net,3
-0.542,0.233,-2.328,0.02,forage,Season: low fish catch,3
0.491,0.336,1.461,0.144,forage,Neighbour presence,3
-1.949,0.76,-2.565,0.01,socialise,(Intercept),3
0.182,0.17,1.071,0.284,socialise,Pod size,3
0.33,0.158,2.086,0.037,socialise,Distance to closest fishing net,3
-0.448,0.247,-1.81,0.07,socialise,Season: low fish catch,3
2.016,0.756,2.667,0.008,socialise,Neighbour presence,3
-42.63,2298.223,-0.019,0.985,escape,(Intercept),4
-2.813,1.112,-2.531,0.011,escape,Pod size,4
-1.651,1.081,-1.527,0.127,escape,Distance to closest boat,4
1.131,1.008,1.122,0.262,escape,Number of surrounding boats,4
0.759,0.474,1.6,0.11,escape,Distance to closest fishing net,4
15.118,743.321,0.02,0.984,escape,Season: low fish catch,4
24.553,2174.702,0.011,0.991,escape,Neighbour presence,4
-3.537,1.254,-2.821,0.005,forage,(Intercept),4
-5.441,1.42,-3.83,0,forage,Pod size,4
0.029,0.189,0.154,0.877,forage,Distance to closest boat,4
0.231,0.438,0.527,0.598,forage,Number of surrounding boats,4
-1.334,0.849,-1.572,0.116,forage,Distance to closest fishing net,4
-0.275,0.74,-0.371,0.711,forage,Season: low fish catch,4
-0.547,0.926,-0.591,0.555,forage,Neighbour presence,4
-2.059,1.141,-1.804,0.071,socialise,(Intercept),4
0.005,0.104,0.051,0.96,socialise,Pod size,4
0.006,0.056,0.104,0.917,socialise,Distance to closest boat,4
-0.106,0.417,-0.254,0.799,socialise,Number of surrounding boats,4
0.055,0.112,0.487,0.627,socialise,Distance to closest fishing net,4
-0.047,0.188,-0.252,0.801,socialise,Season: low fish catch,4
1.973,1.088,1.814,0.07,socialise,Neighbour presence,4
