"behaviour","mean","se","tr"
"forage",0.0309884113982217,0.0202942813719498,1
"socialise",0.0691364951485257,0.0224712349091413,1
"travel",0.899875093453253,0.0289201047086362,1
"escape",0.0665600384979968,0.0103095383811015,2
"forage",0.0151864500874164,0.00452804448491893,2
"socialise",0.0449207405249782,0.00635274880158154,2
"travel",0.873332770889608,0.0126339921738078,2
"forage",0.132580527610614,0.0249427297367043,3
"socialise",0.0220831901624092,0.00888020008262271,3
"travel",0.845336282226977,0.0259564630339678,3
"escape",0.00722066310926768,0.00445390677735801,4
"forage",0.0224305564453118,0.00788411457756818,4
"socialise",0.0475624129637322,0.00771376815395243,4
"travel",0.922786367481688,0.0114574701607973,4
