tr,behaviour,behaviour_lag,mean,sd,lower,upper
1,forage,forage,NA,NA,NA,NA
1,forage,socialise,0,0,0,0
1,forage,travel,0.056683312,0.036487723,0.05442178,0.058944845
1,socialise,forage,NA,NA,NA,NA
1,socialise,socialise,0,0,0,0
1,socialise,travel,0.943316688,0.036487723,0.941055155,0.94557822
1,travel,forage,NA,NA,NA,NA
1,travel,socialise,1,0,1,1
1,travel,travel,0,0,0,0
2,escape,escape,0,0,0,0
2,escape,forage,0,0,0,0
2,escape,socialise,0.017246907,0.005783385,0.016888449,0.017605365
2,escape,travel,0.137383619,0.030613577,0.13548617,0.139281068
2,forage,escape,0,0,0,0
2,forage,forage,0,0,0,0
2,forage,socialise,0.000853412,0.00083957,0.000801375,0.000905449
2,forage,travel,0.04787155,0.019591177,0.046657276,0.049085824
2,socialise,escape,0.141907483,0.032733216,0.139878657,0.143936309
2,socialise,forage,0.071275911,0.044465195,0.06851993,0.074031892
2,socialise,socialise,0,0,0,0
2,socialise,travel,0.814744831,0.036128133,0.812505586,0.816984075
2,travel,escape,0.858092517,0.032733216,0.856063691,0.860121343
2,travel,forage,0.928724089,0.044465195,0.925968108,0.93148007
2,travel,socialise,0.98189968,0.005723307,0.981544946,0.982254415
2,travel,travel,0,0,0,0
3,forage,forage,0,0,0,0
3,forage,socialise,NA,NA,NA,NA
3,forage,travel,0.514979469,0.088896769,0.50946959,0.520489348
3,socialise,forage,0.014228353,0.012305965,0.013465622,0.014991085
3,socialise,socialise,NA,NA,NA,NA
3,socialise,travel,0.485020531,0.088896769,0.479510652,0.49053041
3,travel,forage,0.985771647,0.012305965,0.985008915,0.986534378
3,travel,socialise,NA,NA,NA,NA
3,travel,travel,0,0,0,0
4,escape,escape,NA,NA,NA,NA
4,escape,forage,NA,NA,NA,NA
4,escape,socialise,0,0,0,0
4,escape,travel,0.015349645,0.014653947,0.014441384,0.016257906
4,forage,escape,NA,NA,NA,NA
4,forage,forage,NA,NA,NA,NA
4,forage,socialise,0.010606445,0.011948784,0.009865852,0.011347038
4,forage,travel,0.13986658,0.09021201,0.134275182,0.145457979
4,socialise,escape,NA,NA,NA,NA
4,socialise,forage,NA,NA,NA,NA
4,socialise,socialise,0,0,0,0
4,socialise,travel,0.844783775,0.09387353,0.838965433,0.850602117
4,travel,escape,NA,NA,NA,NA
4,travel,forage,NA,NA,NA,NA
4,travel,socialise,0.989393555,0.011948784,0.988652962,0.990134148
4,travel,travel,0,0,0,0
